reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,text.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
4,48,34,0,0,0,69,19.20116810000036,20.047630999994,20.047630999994,20.201202600001125,t,3.9911452000087593,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
12,34,13,0,1,1,11,24.144421799996053,25.134411699997145,25.134411699997145,25.151142799993977,l,1.3515250000054948,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
87,99,12,0,2,2,90,26.534219900000608,27.517516399995657,27.517516399995657,27.53443059998972,t,0.7322534999984782,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
10,73,16,0,3,3,32,28.28456339999684,29.267368200002238,29.267368200002238,29.284281999993254,l,0.4850815999961924,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
58,90,43,0,4,4,99,29.79735159999109,30.784169199992903,30.784169199992903,30.800950499993633,t,0.4927484999934677,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
32,75,5,0,5,5,85,31.308222999999998,32.300858799993875,32.300858799993875,32.31749960000161,t,0.3502040000021225,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
5,73,43,0,6,6,70,32.67573170000105,33.66727229999378,33.66727229999378,33.68420319999859,t,1.0313488999963738,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
45,59,66,0,7,7,65,34.72470009999233,35.71740339999087,35.71740339999087,35.733852099991054,l,3.735310299991397,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
75,80,78,0,8,8,54,39.49041430000216,40.483961699996144,40.483961699996144,40.50033359999361,t,0.7477247000060743,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
13,40,12,0,9,9,82,41.25803889999224,42.250402899997425,42.250402899997425,42.26709619999747,l,4.60241930000484,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
85,114,5,0,10,10,64,46.88914089999162,47.88341070000024,47.88341070000024,47.900111499999184,t,0.7034675999893807,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
99,117,7,0,11,11,91,48.62377859999833,49.616606099996716,49.616606099996716,49.633288899989566,l,0.1825020999967819,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
12,18,4,0,12,12,40,49.82422080000106,50.816683099998045,50.816683099998045,50.8330558000016,l,0.29730379999091383,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
26,90,4,0,13,13,93,51.139202899998054,52.1330261999974,52.1330261999974,52.14987829999882,l,0.3941498999920441,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
20,25,28,0,14,14,8,52.557041899999604,53.549696599991876,53.549696599991876,53.56629570000223,l,0.38639210000110324,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
12,19,23,0,15,15,81,53.972415099997306,54.96635560000141,54.96635560000141,54.98297989999992,l,0.2779099000035785,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
55,104,34,0,16,16,61,55.2742247999995,56.26645219999773,56.26645219999773,56.283107099996414,t,0.46612070000264794,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
76,118,33,0,17,17,89,56.75725239999883,57.74948539999605,57.74948539999605,57.76638639999146,t,0.23610789999656845,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
13,35,4,0,18,18,84,58.02506749999884,59.016282999989926,59.016282999989926,59.03303340000275,t,0.2682245000032708,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
89,93,54,0,19,19,71,59.322755100001814,60.316010199996526,60.316010199996526,60.33291319999262,t,0.23345169999811333,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
4,56,29,0,20,20,16,60.57320899999468,61.565981899999315,61.565981899999315,61.582861000002595,t,0.29414440000255127,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
7,14,56,0,21,21,37,61.88971940000192,62.88284340000246,62.88284340000246,62.89920689999417,t,0.20357910000893753,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
43,84,68,0,22,22,86,63.12341629998991,64.11593719999655,64.11593719999655,64.1325780999905,t,0.17931310000130907,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
27,50,21,0,23,23,2,64.32423829998879,65.31598569999915,65.31598569999915,65.33241219999036,t,0.562403899995843,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
15,37,45,0,24,24,42,65.9056225999957,66.89894929999718,66.89894929999718,66.91597029998957,l,0.36002380000718404,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
11,30,7,0,25,25,0,67.28881329999422,68.28244509999058,68.28244509999058,68.29894880000211,l,0.10592309999628924,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
19,83,23,0,26,26,43,68.42343169999367,69.41577779999352,69.41577779999352,69.43247780000092,l,0.8310831999988295,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
4,58,40,0,27,27,10,70.27398820000235,71.26552380000066,71.26552380000066,71.28207219998876,l,0.2953617999883136,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
7,45,87,0,28,28,27,71.5897491999931,72.58233249999466,72.58233249999466,72.59891849999258,l,0.4052032000035979,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
70,100,9,0,29,29,48,73.02280710000196,74.0156416999962,74.0156416999962,74.03226389999327,l,0.1813166999927489,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
39,68,25,0,30,30,95,74.22161929999129,75.21561159999692,75.21561159999692,75.23236639999959,l,0.1695663999998942,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
50,69,85,0,31,31,97,75.42185220000101,76.4155643999984,76.4155643999984,76.43218659999548,l,0.3577847999986261,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
12,83,15,0,32,32,31,76.80526850000024,77.79843729999266,77.79843729999266,77.81524369999534,l,0.519507800010615,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
18,29,13,0,33,33,28,78.35593189999054,79.348671499989,79.348671499989,79.36503259999154,l,0.08595639999839477,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
22,64,34,0,34,34,44,79.47181699999783,80.46523669999442,80.46523669999442,80.48178570000164,l,1.033383199988748,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
44,69,54,0,35,35,79,81.52433099999325,82.51517089999106,82.51517089999106,82.53188679998857,l,0.1913265000039246,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
15,150,37,0,36,36,17,82.73807880000095,83.73189809999894,83.73189809999894,83.74849579999864,l,0.63399259999278,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
3,33,45,0,37,37,19,84.40444709999429,85.39841049999814,85.39841049999814,85.41501609999978,l,0.46549099999538157,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
62,92,12,0,38,38,22,85.88892859999032,86.88157689999207,86.88157689999207,86.89813499999582,t,0.5045050000044284,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
25,30,29,0,39,39,9,87.42292139999336,88.41473379998934,88.41473379998934,88.43147009999666,t,0.31765769999765325,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
65,83,64,0,40,40,21,88.75653719999536,89.7483016999904,89.7483016999904,89.76460569999472,t,0.25028910000401083,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
65,85,76,0,41,41,88,90.02165270000114,91.01459669999895,91.01459669999895,91.03155299999344,t,1.330989199996111,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
49,59,67,0,42,42,59,92.37177449998853,93.36443960000179,93.36443960000179,93.38135450000118,t,0.24928570000338368,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
14,18,17,0,43,43,14,93.63873269999749,94.63137809999171,94.63137809999171,94.64773579999746,l,1.2347211000014795,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
53,78,67,0,44,44,98,95.90491630000179,96.89787659999274,96.89787659999274,96.9143378000008,l,0.7268292999942787,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
